name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size (oz)
The Crux,Brandy,3/4 oz, Dubonnet,3/4 oz, Triple Sec,3/4 oz, Brandy,3/4 oz, Fresh lemon juice,, Orange twist,,,Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Paris When It Sizzles,Rum - Daiquiris,3/4 oz, Elderflower liqueur,2 oz, Dark rum,1/2 oz, Fresh Lime Juice,1 oz, Angostura Bitters,, Lime wedge,,,Shake with ice and strain into chilled cocktail glass. Garnish with a lime slice.,Cocktail Glass,6
Palmetto Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1 1/2 oz, Dry Vermouth,2 oz, Angostura Bitters,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Paddington,Rum - Daiquiris,1 oz, Absinthe,1 1/2 oz, Light Rum,1/2 oz, Lillet Blanc,1/2 oz, Fresh grapefruit juice,1/2 oz, Fresh lemon juice,1 oz," Orange marmalade, grapefruit twist","Pour absinthe into chilled cocktail glass, swirl to coat inside, and discard excess. Shake remaining ingredients with ice and strain into glass. Garnish with a grapefruit twist.",Cocktail Glass,6
The Old Cuban,Rum - Daiquiris,6 Fresh, mint leaves,1 oz, Simple Syrup,3/4 oz, Fresh Lime Juice,1 1/2 oz, Dark rum,2 oz, Angostura Bitters,2 oz," Champagne, chopped fresh mint","Muddle mint leaves, syrup, and lime juice in mixing glass. Add rum, bitters, and ice and shake well. Strain into chilled cocktail glass and top with Champagne. Garnish with chopped mint.",Cocktail Glass,6
"Oh, Gosh!",Rum - Daiquiris,1 1/2 oz, Light Rum,1 1/2 oz, Triple Sec,1 oz, Fresh Lime Juice, Lemon twist,,,,,,Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Night Cap,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Simple Syrup,, Warm milk, Freshly grated nutmeg,,,,,,"Pour rum and syrup in prewarmed Irish coffee glass, fill with warm milk, and stir. Top with nutmeg.",Irish Coffee Glass,8
New Orleans Buck,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Fresh orange juice,1/2 oz, Fresh lemon juice, Ginger ale,,,,,,Shake first three ingredients with ice and strain into ice-filled Collins glass. Fill with ginger ale and stir.,Collins Glass,14
Nevada Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Grapefruit Juice,3/4 oz, Fresh Lime Juice,3/4 oz, Simple Syrup,1 oz, Angostura Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Moonquake Shake,Rum - Daiquiris,1 1/2 oz, Dark rum,1 oz, Coffee-flavored brandy,1/4 oz, Fresh lemon juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Monkey Wrench,Rum - Daiquiris,1 1/2 oz, Light Rum,, Grapefruit Juice,,,,,,,,,Pour rum into ice-filled Collins glass. Fill with grapefruit juice and stir.,Collins Glass,14
Creme De Cafe,Brandy,1 oz, Coffee-flavored brandy,1/2 oz, Light Rum,1/2 oz, Anisette,1 oz, half-and-half,,,,,Shake with ice and strain into chilled old-fashioned glass.,Old-Fashioned Glass,6
Margarita,Cocktail Classics,1 1/2 oz, Blanco tequila,3/4 oz, Cointreau or triple sec,3/4 oz, Fresh Lime Juice," Lime wedge, coarse (kosher) salt",,,,,,Rim chilled cocktail glass with lime and salt. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6
Mojito,Rum - Daiquiris,3 oz, Lime wedges,7, Fresh mint leaves,3/4 oz, Simple Syrup,2 oz, Light Rum,, Soda water,, Fresh mint sprig,"Muddle the limes, mint, and syrup in a Collins glass. Add the rum with ice and stir well. Top with soda water. Garnish with mint.",Collins Glass,14
Champagne Flamingo,Vodka,3/4 oz, Vodka,3/4 oz, Campari,5 oz, Chilled Champagne, Orange twist,,,,,,Shake vodka and Campari with ice. Strain into chilled champagne flute and top with Champagne. Garnish with an orange twist.,Champagne Flute,6
Thunder and Lightning Cocktail,Cocktail Classics,1 oz, Egg Yolk,1 oz, Powdered Sugar,1 1/2 oz, Old Mr. Boston Five Star Brandy,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Casco Bay Lemonade,Vodka,1 1/2 oz, Citrus-flavored vodka,2 oz, Simple Syrup,2 oz, Fresh lemon juice,1 oz, Cranberry Juice,, Lemon-lime soda,, Lemon wheel,Shake first four ingredients with ice. Pour into ice-filled Collins glass. Fill glass with lemon-lime soda. Top with lemon slice.,Collins Glass,14
Caribbean Cruise,Vodka,1 oz, Vodka,1/4 oz, Light Rum,1/4 oz, Coconut-flavored rum,1 oz, Grenadine,4 oz, Pineapple Juice,," Pineapple wedge, maraschino cherry",Shake first four ingredients with ice and pour into ice-filled Collins glass. Fill with pineapple juice. Garnish with a pineapple slice and a cherry.,Collins Glass,14
Cappuccino Cocktail,Vodka,3/4 oz, Vodka,3/4 oz, Coffee-flavored brandy,3/4 oz, half-and-half,1 1/2 oz, Vodka,5 oz, Cranberry Juice,, Lime wedge,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Cape Codder,Tequila,1 1/2 oz, Vodka,5 oz, Cranberry Juice,, Lime wedge,1 oz, Old Mr. Boston Anisette ,1 oz, Old Mr. Boston Five Star Brandy,1 oz, Egg White,Pour into ice-filled highball glass. Stir well. Garnish with a lime slice.,Highball Glass,7
Baltimore Bracer Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Anisette ,1 oz, Old Mr. Boston Five Star Brandy,1 oz, Egg White,,,,,,,Shake with ice and strain into cocktail glass. ,Cocktail Glass,6
Caesar,Vodka,For glass," Lemon wedge, celery salt",1 1/2 oz, Vodka,4 oz, Tomato-clam juice,1/2 oz, Prepared horseradish,1 oz," each Worcestershire Sauce, salt, ground black pepper",," Celery stalk, lemon wedge","Rim highball glass with lemon and celery salt, and then fill with ice. Shake ingredients with ice and strain into glass. Garnish with celery and a lemon slice.",Highball Glass,7
Bull Shot,Vodka,1 1/2 oz, Vodka,3 oz, Cold beef bouillon,1 oz, Worcestershire Sauce,1 oz, Salt,1 oz, Freshly ground black pepper,,,Shake with ice and strain into chilled old-fashioned glass.,Old-Fashioned Glass,6
Bullfrog,Vodka,1 1/2 oz, Vodka,5 oz, Lemonade,, Lime wheel,,,,,,,Pour into ice-filled Collins glass and stir. Garnish with a lime slice.,Collins Glass,14
Boston Gold,Vodka,1 1/2 oz, Vodka,1/2 oz, Creme de banana,2 oz, Fresh orange juice,,,,,,,Shake with ice and strain into ice-filled highball glass.,Highball Glass,7
Corpse Reviver No. 1,Brandy,2 oz, Cognac,1 oz," Calvados, apple brandy, or applejack",1 oz, Sweet Vermouth,,,,,,,Stir with ice and strain into a chilled cocktail glass.,Cocktail Glass,6
Thanksgiving Special Cocktail,Cocktail Classics,3/4 oz, Old Mr. Boston Apricot Flavored Brandy,3/4 oz, Old Mr. Boston Dry Gin,3/4 oz, Dry Vermouth,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Tequini Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Tequila,1/2 oz, Dry Vermouth,1 oz, Bitters,,,,,,,Stir with ice and strain into cocktail glass.Garnish with a lemon twist and an olive.,Cocktail Glass,6
Bordeaux Cocktail,Vodka,1 1/2 oz, Citrus-flavored vodka,1/2 oz, Lillet Blanc,, Lemon twist,,,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Bolshoi Punch,Vodka,1 oz, Vodka,3/4 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1/2 oz, Light Rum,1/2 oz, Creme de Cassis,,,Shake and pour into ice-filled old-fashioned glass.,Old-Fashioned Glass,6
Blue Lagoon,Vodka,1 oz, Vodka,1 oz, Blue curacao,1/2 oz, Fresh lemon juice,1/2 oz, Simple Syrup,, Maraschino cherry,,,Shake with ice and strain into ice-filled highball glass. Garnish with a cherry.,Highball Glass,7
Stinger Cocktail,Cocktail Classics,1/2 oz, Old Mr. Boston White Creme de Menthe,1 1/2 oz, Old Mr. Boston Five Star Brandy,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Bloody Mary,Vodka,1 1/2 oz, Vodka,3 oz, Tomato Juice,1/4 oz, Fresh Lime Juice,4 oz, Worcestershire Sauce,2 -  3 drops ,hot red pepper sauce,," Freshly ground black pepper to taste, lime wedge, celery stalk",Roll with ice between both halves of Boston shaker. Strain into ice-filled old-fashioned glass. Garnish with a lime slice and celery.,Old-Fashioned Glass,6
Spritzer Highball,Cocktail Classics,3 oz, chilled Rhine wine or Sauterne,,carbonated water,,,,,,,,,Pour into highball glass with ice cubes. Fill balance with carbonated water and stir gently.,Highball Glass,7
Bloody Bull,Vodka,1 oz, Vodka,2 oz, Tomato Juice,2 oz, Cold beef bouillon," Lemon wedge, lime wheel",,,,,,Pour into ice-filled highball glass. Stir. Squeeze and add lemon. Garnish with a lime slice.,Highball Glass,7
The Blood Orange,Vodka,2 oz, Orange-flavored vodka,1 oz, Campari,, Blood or navel orange half-wheel,,,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with an orange slice.,Cocktail Glass,6
Black Russian,Vodka,1 1/2 oz, Vodka,3/4 oz, Coffee liqueur,,,,,,,,,Pour into ice-filled old-fashioned glass and stir.,Old-Fashioned Glass,6
Black Magic,Vodka,1 1/2 oz, Vodka,3/4 oz, Coffee liqueur,1/4 oz, Fresh lemon juice, Lemon twist,,,,,,Shake with ice and strain into ice-filled old-fashioned glass. Garnish with a lemon twist.,Old-Fashioned Glass,6
Black Cherry Chocolate,Vodka,1 1/4 oz, Black cherry-flavored vodka,3/4 oz, White chocolate liqueur,3/4 oz, Black cherry juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Victor Collins,Cocktail Classics,1 1/2 oz, Old Mr. Boston Vodka,3 oz, Unsweetened Grape Juice,3 oz, Lemon Juice,1 oz, Powdered Sugar,,,,,Shake with ice and strain into collins glass with ice cubes. Garnish with an orange slice.,Collins Glass,14
Snowball Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Dry Gin,1/2 oz, Old Mr. Boston Anisette ,1 oz, Sweet Cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Violet Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1/2 oz, Powdered Sugar,1 1/2 oz, Old Mr. Boston Dry Gin,1 oz, Creme Yvette,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
