name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz)
Planter's Punch No. 1,Rum - Daiquiris,2.5 oz, Light Rum,2 oz,  Lime Juice,,,.5 oz,2 oz,1 oz, Grenadine,,,"Lemon Slice, Orange Slice, Pineapple Slice, Cherry","Stir rum, lime juice, syrup, and bitters in ice-filled Collins glass until glass is frosted. Fill with soda water and top with grenadine. Garnish with fruit. Serve with a straw.",Collins Glass,14
Planter's Cocktail,Rum - Daiquiris,1.5 oz, Jamaica Rum,.5 oz,  lemon juice,,,1 oz,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Pink Paradise,Rum - Daiquiris,1.5 oz, Coconut-flavored rum,1 oz, Amaretto,,,3 oz,1.5 oz,,,,,"Pineapple Slice, Cherry",Stir ingredients in ice-filled hurricane glass. Garnish with a pineapple slice and a cherry.,hurricane,14
Pink Creole,Rum - Daiquiris,1.5 oz, Light Rum,.5 oz,  Lime Juice,,,.25 oz,.25 oz,,,,,Cherry,Shake with ice and strain into chilled cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Pineapple Fizz,Rum - Daiquiris,2 oz, Light Rum,1 oz, Pineapple Juice,,,1 oz, Soda water,,,,,,"Shake rum, pineapple juice, and syrup with ice and strain into chilled highball glass over 2 ice cubes. Fill with soda water and stir.",Highball Glass,7
Pineapple Cocktail,Rum - Daiquiris,1.5 oz, Light Rum,.75 oz, Pineapple Juice,,,.5 oz,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Pearl Button,Rum - Daiquiris,2 oz, Cachaca (Brazilian rum),.75 oz, Lillet Blanc,,,.5 oz, Lemon-lime soda,,,,,"Pineapple Slice, Cherry",Shake first three ingredients with ice and strain into ice-filled Collins glass. Top with soda. Garnish with a pineapple slice and a cherry.,Collins Glass,14
The Crux,Brandy,.75 oz, Dubonnet,.75 oz, Triple Sec,,,.75 oz,.75 oz,,,,,Orange Twist,Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Paris When It Sizzles,Rum - Daiquiris,.75 oz, Elderflower liqueur,2 oz, Dark rum,,,.5 oz,1 oz,,,,,Lime Slice,Shake with ice and strain into chilled cocktail glass. Garnish with a lime slice.,Cocktail Glass,6
Palmetto Cocktail,Rum - Daiquiris,1.5 oz, Light Rum,1.5 oz, Dry Vermouth,,,2 oz,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Paddington,Rum - Daiquiris,1 oz, Absinthe,1.5 oz, Light Rum,,,.5 oz,.5 oz,.5 oz,  lemon juice,,1 oz,Grapefruit Twist,"Pour absinthe into chilled cocktail glass, swirl to coat inside, and discard excess. Shake remaining ingredients with ice and strain into glass. Garnish with a grapefruit twist.",Cocktail Glass,6
The Old Cuban,Rum - Daiquiris,6, mint leaves,1 oz, Simple Syrup,,,.75 oz,1.5 oz,2 oz, Angostura Bitters,,2 oz,Mint,"Muddle mint leaves, syrup, and lime juice in mixing glass. Add rum, bitters, and ice and shake well. Strain into chilled cocktail glass and top with Champagne. Garnish with chopped mint.",Cocktail Glass,6
"Oh, Gosh!",Rum - Daiquiris,1.5 oz, Light Rum,1.5 oz, Triple Sec,,,1 oz,,,,,,Lemon Twist,Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Night Cap,Rum - Daiquiris,2 oz, Light Rum,.5 oz, Simple Syrup,,,,,,,,,Nutmeg,"Pour rum and syrup in prewarmed Irish coffee glass, fill with warm milk, and stir. Top with nutmeg.",irish_coffee,8
New Orleans Buck,Rum - Daiquiris,1.5 oz, Light Rum,1 oz,  orange juice,,,.5 oz, Ginger ale,,,,,,Shake first three ingredients with ice and strain into ice-filled Collins glass. Fill with ginger ale and stir.,Collins Glass,14
Nevada Cocktail,Rum - Daiquiris,1.5 oz, Light Rum,1 oz, Grapefruit Juice,,,.75 oz,.75 oz,1 oz, Angostura Bitters,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Moonquake Shake,Rum - Daiquiris,1.5 oz, Dark rum,1 oz, Coffee-flavored brandy,,,.25 oz,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Monkey Wrench,Rum - Daiquiris,1.5 oz, Light Rum,, Grapefruit Juice,,,,,,,,,,Pour rum into ice-filled Collins glass. Fill with grapefruit juice and stir.,Collins Glass,14
Creme De Cafe,Brandy,1 oz, Coffee-flavored brandy,.5 oz, Light Rum,,,.5 oz,1 oz,,,,,,Shake with ice and strain into chilled old-fashioned glass.,Old-Fashioned Glass,6
Margarita,Cocktail Classics,1.5 oz, Blanco tequila,.75 oz, Cointreau or triple sec,,,.75 oz,,,,,,Salt,Rim chilled cocktail glass with lime and salt. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6
Mojito,Rum - Daiquiris,3 oz, Lime wedges,7,  mint leaves,,,.75 oz,2 oz,, Soda water,,,Mint,"Muddle the limes, mint, and syrup in a Collins glass. Add the rum with ice and stir well. Top with soda water. Garnish with mint.",Collins Glass,14
